timestamp,attention_entropy,memory_diversity,velocity_stability,identity_coherence,cluster_stability,affective_strength,essence_trajectory,average_essence
37,3.4930577,0,0.9999999,1,0.52,0,5,5
38,3.512014,0,0.9999999,1,0.52,0,5,5
39,3.5301967,0,0.9999999,0.9999999,0.52,0,5,5
40,3.5476413,0,0.9999999,0.9999999,0.52,0,5,5
41,3.564382,0,0.9999999,1,0.52,0,5,5
42,3.5804515,0,0.9999999,1,0.52,0,5,5
43,3.595879,0,0.9999999,0.9999999,0.52,0,5,5
44,3.6106935,0,0.9999999,1,0.52,0,5,5
45,3.6249213,0,0.9999999,0.9999999,0.52,0,5,5
46,3.6385875,0,0.9999999,1,0.52,0,5,5
47,3.6517167,0,0.9999999,1,0.53000003,0,5,5
48,3.66433,0,0.9999999,0.9999999,0.53000003,0,5,5
49,3.6764503,0,0.9999999,0.9999999,0.54,0,5,5
50,3.6880965,0,0.9999999,1,0.56,0,5,5
51,3.6992888,0,0.9999999,0.9999999,0.56,0,5,5
52,3.710046,0,0.9999999,0.9999999,0.56,0,5,5
53,3.7203841,0,0.9999999,1,0.56,0,5,5
54,3.7303205,0,0.9999999,1,0.56,0,5,5
55,3.7398708,0,0.9999999,0.9999999,0.56,0,5,5
56,3.7490506,0,0.9999999,1,0.56,0,5,5
57,3.7578747,0,0.9999999,0.9999999,0.56,0,5,5
58,3.766356,0,0.9999999,1,0.56,0,5,5
59,3.7745082,0,0.9999999,1,0.56,0,5,5
60,3.7823443,0,0.9999999,0.9999999,0.56,0,5,5
61,3.7898755,0,0.9999999,0.9999999,0.56,0,5,5
62,3.7971148,0,0.9999999,0.9999999,0.56,0,5,5
63,3.8040729,0,0.9999999,0.9999999,0.56,0,5,5
64,3.81076,0,0.9999999,1,0.56,0,5,5
65,3.817187,0,0.9999999,0.9999999,0.56,0,5,5
66,3.8233628,0,0.9999999,1,0.56,0,5,5
67,3.8292994,0,0.9999999,0.9999999,0.56,0,5,5
68,3.8350024,0,0.9999999,0.9999999,0.56,0,5,5
69,3.8404841,0,0.9999999,1,0.56,0,5,5
70,3.8457503,0,0.9999999,1,0.56,0,5,5
71,3.8508105,0,0.9999999,1,0.56,0,5,5
72,3.8556721,0,0.9999999,1,0.56,0,5,5
73,3.8603425,0,0.9999999,0.9999999,0.56,0,5,5
74,3.8648295,0,0.9999999,0.9999999,0.56,0,5,5
75,3.8691392,0,0.9999999,1,0.56,0,5,5
76,3.87328,0,0.9999999,0.9999999,0.56,0,5,5
77,3.8772569,0,0.9999999,1,0.56,0,5,5
78,3.8810744,0,0.9999999,1,0.56,0,5,5
79,3.8847432,0,0.9999999,1,0.56,0,5,5
80,3.8882651,0,0.9999999,1,0.56,0,5,5
81,3.8916469,0,0.9999999,1,0.56,0,5,5
82,3.8948941,0,0.9999999,0.9999999,0.56,0,5,5
83,3.8980117,0,0.9999999,0.9999999,0.56,0,5,5
84,3.9010048,0,0.9999999,1,0.56,0,5,5
85,3.9038777,0,0.9999999,0.9999999,0.56,0,5,5
86,3.9066358,0,0.9999999,0.9999999,0.56,0,5,5
87,3.9092832,0,0.9999999,0.9999999,0.56,0,5,5
88,3.9118245,0,0.9999999,0.9999999,0.56,0,5,5
89,3.9142623,0,0.9999999,0.9999999,0.56,0,5,5
90,3.9166026,0,0.9999999,1,0.56,0,5,5
91,3.9188473,0,0.9999999,0.9999999,0.56,0,5,5
92,3.921002,0,0.9999999,0.9999999,0.56,0,5,5
93,3.9230685,0,0.9999999,1,0.56,0,5,5
94,3.9250522,0,0.9999999,1,0.56,0,5,5
95,3.9269538,0,0.9999999,1,0.56,0,5,5
96,3.9287791,0,0.9999999,0.9999999,0.56,0,5,5
97,3.9305282,0,0.9999999,1,0.57,0,5,5
98,3.9322076,0,0.9999999,0.9999999,0.57,0,5,5
99,3.9338183,0,0.9999999,1,0.57,0,5,5
100,3.9353604,0,0.9999999,1,0.57,0,5,5
101,3.9368405,0,0.9999999,0.9999999,0.57,0,5,5
102,3.9382606,0,0.9999999,0.9999999,0.57,0,5,5
103,3.9396214,0,0.9999999,0.9999999,0.57,0,5,5
104,3.940926,0,0.9999999,0.9999999,0.57,0,5,5
105,3.9421763,0,0.9999999,1,0.57,0,5,5
106,3.943375,0,0.9999999,0.9999999,0.57,0,5,5
107,3.9445243,0,0.9999999,0.9999999,0.57,0,5,5
108,3.9456253,0,0.9999999,0.9999999,0.57,0,5,5
109,3.9466815,0,0.9999999,1,0.57,0,5,5
110,3.9476929,0,0.9999999,1,0.57,0,5,5
111,3.9486623,0,0.9999999,0.9999999,0.58000004,0,5,5
112,3.9495912,0,0.9999999,1,0.58000004,0,5,5
113,3.950481,0,0.9999999,0.9999999,0.58000004,0,5,5
114,3.9513335,0,0.9999999,0.9999999,0.58000004,0,5,5
115,3.9521499,0,0.9999999,0.9999999,0.58000004,0,5,5
116,3.9529328,0,0.9999999,1,0.58000004,0,5,5
117,3.9536824,0,0.9999999,1,0.58000004,0,5,5
118,3.9544005,0,0.9999999,0.9999999,0.58000004,0,5,5
119,3.9550872,0,0.9999999,1,0.58000004,0,5,5
120,3.9557471,0,0.9999999,1,0.58000004,0,5,5
121,3.9563775,0,0.9999999,1,0.58000004,0,5,5
122,3.9569821,0,0.9999999,1,0.58000004,0,5,5
123,3.95756,0,0.9999999,0.9999999,0.58000004,0,5,5
124,3.9581134,0,0.9999999,0.9999999,0.58000004,0,5,5
125,3.9586437,0,0.9999999,0.9999999,0.58000004,0,5,5
126,3.9591517,0,0.9999999,0.9999999,0.58000004,0,5,5
127,3.9596372,0,0.9999999,1,0.58000004,0,5,5
128,3.9601035,0,0.9999999,1,0.58000004,0,5,5
129,3.9605489,0,0.9999999,0.9999999,0.58000004,0,5,5
130,3.9609752,0,0.9999999,0.9999999,0.58000004,0,5,5
131,3.9613833,0,0.9999999,1,0.58000004,0,5,5
132,3.9617734,0,0.9999999,0.9999999,0.58000004,0,5,5
133,3.9621472,0,0.9999999,0.9999999,0.58000004,0,5,5
134,3.9625058,0,0.9999999,1,0.58000004,0,5,5
135,3.9628482,0,0.9999999,0.9999999,0.58000004,0,5,5
136,3.9631753,0,0.9999999,0.9999999,0.58000004,0,5,5
137,3.963489,0,0.9999999,0.9999999,0.58000004,0,5,5
138,3.9637883,0,0.9999999,1,0.58000004,0,5,5
139,3.9640758,0,0.9999999,0.9999999,0.58000004,0,5,5
140,3.9643502,0,0.9999999,0.9999999,0.58000004,0,5,5
141,3.9646125,0,0.9999999,0.9999999,0.59000003,0,5,5
142,3.9648643,0,0.9999999,0.9999999,0.59000003,0,5,5
143,3.9651043,0,0.9999999,0.9999999,0.59000003,0,5,5
144,3.9653335,0,0.9999999,1,0.59000003,0,5,5
145,3.9655545,0,0.9999999,1,0.59000003,0,5,5
146,3.9657645,0,0.9999999,0.9999999,0.59000003,0,5,5
147,3.9659657,0,0.9999999,0.9999999,0.59000003,0,5,5
148,3.9661574,0,0.9999999,1,0.59000003,0,5,5
149,3.9663424,0,0.9999999,1,0.59000003,0,5,5
150,3.966518,0,0.9999999,1,0.59000003,0,5,5
151,3.9666862,0,0.9999999,1,0.59000003,0,5,5
152,3.9668477,0,0.9999999,0.9999999,0.59000003,0,5,5
153,3.9670014,0,0.9999999,1,0.59000003,0,5,5
154,3.9671483,0,0.9999999,0.9999999,0.59000003,0,5,5
155,3.9672894,0,0.9999999,0.9999999,0.59000003,0,5,5
156,3.9674237,0,0.9999999,0.9999999,0.59000003,0,5,5
157,3.9675522,0,0.9999999,1,0.59000003,0,5,5
158,3.9676747,0,0.9999999,0.9999999,0.59000003,0,5,5
159,3.967793,0,0.9999999,0.9999999,0.59000003,0,5,5
160,3.9679046,0,0.9999999,0.9999999,0.59000003,0,5,5
161,3.9680123,0,0.9999999,1,0.59000003,0,5,5
162,3.9681163,0,0.9999999,0.9999999,0.59000003,0,5,5
163,3.9682133,0,0.9999999,1,0.59000003,0,5,5
164,3.968307,0,0.9999999,0.9999999,0.59000003,0,5,5
165,3.9683967,0,0.9999999,0.9999999,0.59000003,0,5,5
166,3.9684818,0,0.9999999,1,0.59000003,0,5,5
167,3.9685636,0,0.9999999,0.9999999,0.59000003,0,5,5
168,3.968642,0,0.9999999,0.9999999,0.59000003,0,5,5
169,3.9687161,0,0.9999999,1,0.59000003,0,5,5
170,3.9687881,0,0.9999999,0.9999999,0.59000003,0,5,5
171,3.9688563,0,0.9999999,1,0.59000003,0,5,5
172,3.9689212,0,0.9999999,1,0.59000003,0,5,5
173,3.9689841,0,0.9999999,0.9999999,0.59000003,0,5,5
174,3.9690442,0,0.9999999,0.9999999,0.59000003,0,5,5
175,3.9691005,0,0.9999999,0.9999999,0.59000003,0,5,5
176,3.9691548,0,0.9999999,1,0.59000003,0,5,5
177,3.9692073,0,0.9999999,1,0.59000003,0,5,5
178,3.9692569,0,0.9999999,1,0.59000003,0,5,5
179,3.9693043,0,0.9999999,1,0.59000003,0,5,5
180,3.9693494,0,0.9999999,0.9999999,0.59000003,0,5,5
181,3.9693923,0,0.9999999,0.9999999,0.59000003,0,5,5
182,3.9694333,0,0.9999999,0.9999999,0.59000003,0,5,5
183,3.9694734,0,0.9999999,0.9999999,0.59000003,0,5,5
184,3.9695115,0,0.9999999,1,0.59000003,0,5,5
185,3.9695473,0,0.9999999,1,0.59000003,0,5,5
186,3.9695811,0,0.9999999,0.9999999,0.59000003,0,5,5
187,3.9696136,0,0.9999999,0.9999999,0.59000003,0,5,5
188,3.969646,0,0.9999999,1,0.59000003,0,5,5
189,3.9696755,0,0.9999999,0.9999999,0.59000003,0,5,5
190,3.9697042,0,0.9999999,0.9999999,0.59000003,0,5,5
191,3.9697316,0,0.9999999,1,0.59000003,0,5,5
192,3.9697583,0,0.9999999,0.9999999,0.59000003,0,5,5
193,3.9697824,0,0.9999999,1,0.59000003,0,5,5
194,3.9698062,0,0.9999999,0.9999999,0.59000003,0,5,5
195,3.969829,0,0.9999999,1,0.59000003,0,5,5
196,3.96985,0,0.9999999,0.9999999,0.59000003,0,5,5
197,3.969871,0,0.9999999,0.9999999,0.59000003,0,5,5
198,3.969891,0,0.9999999,1,0.59000003,0,5,5
199,3.9699101,0,0.9999999,0.9999999,0.59000003,0,5,5
200,3.9699275,0,0.9999999,0.9999999,0.59000003,0,5,5
201,3.9699445,0,0.9999999,1,0.59000003,0,5,5
202,3.9699626,0,0.9999999,0.9999999,0.59000003,0,5,5
203,3.9699779,0,0.9999999,1,0.59000003,0,5,5
204,3.9699922,0,0.9999999,1,0.59000003,0,5,5
205,3.9700065,0,0.9999999,0.9999999,0.59000003,0,5,5
206,3.9700208,0,0.9999999,0.9999999,0.59000003,0,5,5
207,3.9700322,0,0.9999999,0.9999999,0.59000003,0,5,5
208,3.9700456,0,0.9999999,0.9999999,0.59000003,0,5,5
209,3.9700584,0,0.9999999,1,0.59000003,0,5,5
210,3.9700685,0,0.9999999,0.9999999,0.59000003,0,5,5
211,3.9700656,0,0.9999999,0.9999999,0.59000003,0,5,5
212,3.9700637,0,0.9999999,1,0.59000003,0,5,5
213,3.9700599,0,0.9999999,1,0.59000003,0,5,5
214,3.970058,0,0.9999999,0.9999999,0.59000003,0,5,5
215,3.970055,0,0.9999999,0.9999999,0.59000003,0,5,5
216,3.9700532,0,0.9999999,0.9999999,0.59000003,0,5,5
217,3.9700508,0,0.9999999,0.9999999,0.59000003,0,5,5
218,3.9700484,0,0.9999999,0.9999999,0.59000003,0,5,5
219,3.9700465,0,0.9999999,0.9999999,0.59000003,0,5,5
220,3.9700446,0,0.9999999,1,0.59000003,0,5,5
221,3.9700432,0,0.9999999,1,0.59000003,0,5,5
222,3.9700418,0,0.9999999,1,0.59000003,0,5,5
223,3.9700398,0,0.9999999,0.9999999,0.59000003,0,5,5
224,3.970039,0,0.9999999,1,0.59000003,0,5,5
225,3.970037,0,0.9999999,1,0.59000003,0,5,5
226,3.970035,0,0.9999999,0.9999999,0.59000003,0,5,5
227,3.970035,0,0.9999999,0.9999999,0.59000003,0,5,5
228,3.9700332,0,0.9999999,0.9999999,0.59000003,0,5,5
229,3.9700322,0,0.9999999,0.9999999,0.59000003,0,5,5
230,3.9700313,0,0.9999999,0.9999999,0.59000003,0,5,5
231,3.9700303,0,0.9999999,1,0.59000003,0,5,5
232,3.9700284,0,0.9999999,0.9999999,0.59000003,0,5,5
233,3.9700274,0,0.9999999,1,0.59000003,0,5,5
234,3.9700274,0,0.9999999,0.9999999,0.59000003,0,5,5
235,3.9700265,0,0.9999999,1,0.59000003,0,5,5
236,3.9700253,0,0.9999999,1,0.59000003,0,5,5
237,3.9700246,0,0.9999999,0.9999999,0.59000003,0,5,5
238,3.9700236,0,0.9999999,0.9999999,0.59000003,0,5,5
239,3.970023,0,0.9999999,0.9999999,0.59000003,0,5,5
240,3.9700217,0,0.9999999,0.9999999,0.59000003,0,5,5
241,3.9700217,0,0.9999999,0.9999999,0.59000003,0,5,5
242,3.9700208,0,0.9999999,1,0.59000003,0,5,5
243,3.9700203,0,0.9999999,1,0.59000003,0,5,5
244,3.9700198,0,0.9999999,0.9999999,0.59000003,0,5,5
245,3.9700198,0,0.9999999,0.9999999,0.59000003,0,5,5
246,3.9700198,0,0.9999999,0.9999999,0.59000003,0,5,5
247,3.9700189,0,0.9999999,0.9999999,0.59000003,0,5,5
248,3.970018,0,0.9999999,0.9999999,0.59000003,0,5,5
249,3.970018,0,0.9999999,1,0.59000003,0,5,5
250,3.970017,0,0.9999999,0.9999999,0.59000003,0,5,5
251,3.970017,0,0.9999999,1,0.59000003,0,5,5
252,3.970017,0,0.9999999,0.9999999,0.59000003,0,5,5
253,3.970016,0,0.9999999,0.9999999,0.59000003,0,5,5
254,3.970016,0,0.9999999,1,0.59000003,0,5,5
255,3.970015,0,0.9999999,0.9999999,0.59000003,0,5,5
256,3.970014,0,0.9999999,1,0.59000003,0,5,5
257,3.970014,0,0.9999999,0.9999999,0.59000003,0,5,5
258,3.970014,0,0.9999999,1,0.59000003,0,5,5
259,3.9700139,0,0.9999999,0.9999999,0.59000003,0,5,5
260,3.9700139,0,0.9999999,0.9999999,0.59000003,0,5,5
261,3.9700131,0,0.9999999,0.9999999,0.59000003,0,5,5
262,3.9700131,0,0.9999999,0.9999999,0.59000003,0,5,5
263,3.9700131,0,0.9999999,1,0.59000003,0,5,5
264,3.9700131,0,0.9999999,0.9999999,0.59000003,0,5,5
265,3.9700131,0,0.9999999,1,0.59000003,0,5,5
266,3.9700131,0,0.9999999,0.9999999,0.59000003,0,5,5
267,3.9700131,0,0.9999999,1,0.59000003,0,5,5
268,3.9700131,0,0.9999999,0.9999999,0.59000003,0,5,5
269,3.9700122,0,0.9999999,1,0.59000003,0,5,5
270,3.9700122,0,0.9999999,0.9999999,0.59000003,0,5,5
271,3.9700122,0,0.9999999,1,0.59000003,0,5,5
272,3.9700122,0,0.9999999,0.9999999,0.59000003,0,5,5
273,3.9700122,0,0.9999999,1,0.59000003,0,5,5
274,3.9700122,0,0.9999999,0.9999999,0.59000003,0,5,5
275,3.9700122,0,0.9999999,1,0.59000003,0,5,5
276,3.9700115,0,0.9999999,0.9999999,0.59000003,0,5,5
277,3.9700115,0,0.9999999,0.9999999,0.59000003,0,5,5
278,3.9700115,0,0.9999999,0.9999999,0.59000003,0,5,5
279,3.9700112,0,0.9999999,0.9999999,0.59000003,0,5,5
280,3.9700112,0,0.9999999,1,0.59000003,0,5,5
281,3.9700112,0,0.9999999,0.9999999,0.59000003,0,5,5
282,3.9700112,0,0.9999999,1,0.59000003,0,5,5
283,3.9700112,0,0.9999999,0.9999999,0.59000003,0,5,5
284,3.9700112,0,0.9999999,1,0.59000003,0,5,5
285,3.9700112,0,0.9999999,0.9999999,0.59000003,0,5,5
286,3.9700112,0,0.9999999,1,0.59000003,0,5,5
287,3.9700112,0,0.9999999,0.9999999,0.59000003,0,5,5
288,3.9700103,0,0.9999999,1,0.59000003,0,5,5
289,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
290,3.9700103,0,0.9999999,1,0.59000003,0,5,5
291,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
292,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
293,3.9700103,0,0.9999999,1,0.59000003,0,5,5
294,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
295,3.9700103,0,0.9999999,1,0.59000003,0,5,5
296,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
297,3.9700103,0,0.9999999,1,0.59000003,0,5,5
298,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
299,3.9700103,0,0.9999999,1,0.59000003,0,5,5
300,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
301,3.9700103,0,0.9999999,1,0.59000003,0,5,5
302,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
303,3.9700103,0,0.9999999,1,0.59000003,0,5,5
304,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
305,3.9700103,0,0.9999999,1,0.59000003,0,5,5
306,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
307,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
308,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
309,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
310,3.9700103,0,0.9999999,1,0.59000003,0,5,5
311,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
312,3.9700103,0,0.9999999,1,0.59000003,0,5,5
313,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
314,3.9700103,0,0.9999999,1,0.59000003,0,5,5
315,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
316,3.9700103,0,0.9999999,1,0.59000003,0,5,5
317,3.9700103,0,0.9999999,0.9999999,0.59000003,0,5,5
318,3.97001,0,0.9999999,1,0.59000003,0,5,5
319,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
320,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
321,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
322,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
323,3.97001,0,0.9999999,1,0.59000003,0,5,5
324,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
325,3.97001,0,0.9999999,1,0.59000003,0,5,5
326,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
327,3.97001,0,0.9999999,1,0.59000003,0,5,5
328,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
329,3.97001,0,0.9999999,1,0.59000003,0,5,5
330,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
331,3.97001,0,0.9999999,1,0.59000003,0,5,5
332,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
333,3.97001,0,0.9999999,1,0.59000003,0,5,5
334,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
335,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
336,3.97001,0,0.9999999,1,0.59000003,0,5,5
337,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
338,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
339,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
340,3.97001,0,0.9999999,1,0.59000003,0,5,5
341,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
342,3.97001,0,0.9999999,1,0.59000003,0,5,5
343,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
344,3.97001,0,0.9999999,1,0.59000003,0,5,5
345,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
346,3.97001,0,0.9999999,1,0.59000003,0,5,5
347,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
348,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
349,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
350,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
351,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
352,3.97001,0,0.9999999,1,0.59000003,0,5,5
353,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
354,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
355,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
356,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
357,3.97001,0,0.9999999,1,0.59000003,0,5,5
358,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
359,3.97001,0,0.9999999,1,0.59000003,0,5,5
360,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
361,3.97001,0,0.9999999,1,0.59000003,0,5,5
362,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
363,3.97001,0,0.9999999,1,0.59000003,0,5,5
364,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
365,3.97001,0,0.9999999,1,0.59000003,0,5,5
366,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
367,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
368,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
369,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
370,3.97001,0,0.9999999,1,0.59000003,0,5,5
371,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
372,3.97001,0,0.9999999,1,0.59000003,0,5,5
373,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
374,3.97001,0,0.9999999,1,0.59000003,0,5,5
375,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
376,3.97001,0,0.9999999,1,0.59000003,0,5,5
377,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
378,3.97001,0,0.9999999,1,0.59000003,0,5,5
379,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
380,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
381,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
382,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
383,3.97001,0,0.9999999,1,0.59000003,0,5,5
384,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
385,3.97001,0,0.9999999,1,0.59000003,0,5,5
386,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
387,3.97001,0,0.9999999,1,0.59000003,0,5,5
388,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
389,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
390,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
391,3.97001,0,0.9999999,1,0.59000003,0,5,5
392,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
393,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
394,3.97001,0,0.9999999,1,0.59000003,0,5,5
395,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
396,3.97001,0,0.9999999,1,0.59000003,0,5,5
397,3.97001,0,0.9999999,1,0.59000003,0,5,5
398,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
399,3.97001,0,0.9999999,1,0.59000003,0,5,5
400,3.97001,0,0.9999999,1,0.59000003,0,5,5
401,3.97001,0,0.9999999,1,0.59000003,0,5,5
402,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
403,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
404,3.97001,0,0.9999999,1,0.59000003,0,5,5
405,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
406,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
407,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
408,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
409,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
410,3.97001,0,0.9999999,1,0.59000003,0,5,5
411,3.97001,0,0.9999999,1,0.59000003,0,5,5
412,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
413,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
414,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
415,3.97001,0,0.9999999,1,0.59000003,0,5,5
416,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
417,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
418,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
419,3.97001,0,0.9999999,1,0.59000003,0,5,5
420,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
421,3.97001,0,0.9999999,1,0.59000003,0,5,5
422,3.97001,0,0.9999999,1,0.59000003,0,5,5
423,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
424,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
425,3.97001,0,0.9999999,1,0.59000003,0,5,5
426,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
427,3.97001,0,0.9999999,1,0.59000003,0,5,5
428,3.97001,0,0.9999999,1,0.59000003,0,5,5
429,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
430,3.97001,0,0.9999999,1,0.59000003,0,5,5
431,3.97001,0,0.9999999,1,0.59000003,0,5,5
432,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
433,3.97001,0,0.9999999,1,0.59000003,0,5,5
434,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
435,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
436,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
437,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
438,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
439,3.97001,0,0.9999999,0.9999999,0.59000003,0,5,5
